GPP_percent_modern,pCO2_ppmv,D17O_permil
100,21287.0699881376,-7.386063955783657
100,21405.693950177934,-7.412041058033952
100,21524.317912218266,-7.43774180813265
100,21642.941874258602,-7.465100671140941
100,21761.56583629893,-7.49273588630083
100,21880.189798339263,-7.516225819186734
100,21998.8137603796,-7.542202921437031
100,22117.437722419927,-7.567903671535729
100,22236.061684460255,-7.5922226608764305
100,22354.685646500595,-7.617647058823529
100,22479.240806642938,-7.643649283996698
100,22603.795966785292,-7.669601263324123
100,22716.488730723606,-7.693336842567003
100,22829.18149466192,-7.716304776944334
100,22947.805456702255,-7.741729174891432
100,23072.360616844602,-7.766249147615116
100,23196.915776986956,-7.793130675088828
100,23309.608540925266,-7.814931789270519
100,23422.301304863584,-7.836794315041454
100,23546.85646500593,-7.861967483759824
100,23671.41162514828,-7.887090406632451
100,23784.104389086595,-7.910426810545248
100,23896.797153024912,-7.93241215949467
100,24015.421115065245,-7.954796683774181
100,24139.97627520759,-7.979542762803717
100,24258.600237247927,-7.999780672895557
100,24371.29300118624,-8.023884721673905
100,24489.916963226573,-8.047374654559812
100,24608.5409252669,-8.06810106592973
100,24733.096085409252,-8.091842228044358
100,24851.720047449588,-8.114313286835987
100,24964.4128113879,-8.135807343071457
100,25083.036773428234,-8.15542834583498
100,25207.59193357058,-8.178265082726195
100,25326.215895610912,-8.199982453831645
100,25438.908659549234,-8.220923805763917
100,25557.532621589562,-8.24026845637584
100,25676.15658362989,-8.261547572048952
100,25794.780545670226,-8.28503750493486
100,25913.40450771056,-8.303553099091987
100,26032.028469750894,-8.324279510461905
100,26150.652431791223,-8.346387682589814
100,26275.207591933573,-8.36643577504217
100,26393.831553973905,-8.38759485897267
100,26506.524317912223,-8.40552704303198
100,26625.148279952547,-8.425700750098699
100,26743.772241992883,-8.445321752862219
100,26862.396204033215,-8.466600868535332
100,26981.020166073547,-8.484840110540862
100,27099.64412811388,-8.50556652191078
100,27218.26809015421,-8.523253059613106
100,27342.823250296562,-8.54279869360801
100,27461.44721233689,-8.56261788831864
100,27574.139976275204,-8.581287011448875
100,27692.76393831554,-8.595933675483618
100,27811.387900355872,-8.61776549545993
100,27930.011862396204,-8.636004737465454
100,28048.635824436536,-8.653138570864588
100,28167.25978647687,-8.671930517173312
100,28285.883748517197,-8.68961705487564
100,28404.507710557536,-8.70757994472957
100,28523.13167259786,-8.724713778128699
100,28641.755634638197,-8.741018555073037
100,28760.37959667853,-8.759534149230163
100,28879.00355871886,-8.776667982629293
100,28997.627520759193,-8.79242005527043
100,29116.251482799526,-8.810935649427558
100,29234.87544483986,-8.825858665613897
100,29353.499406880193,-8.84243979470983
100,29472.12336892052,-8.859573628108961
100,29590.747330960854,-8.8753257007501
100,29709.37129300119,-8.89467035136202
100,29774.61447212337,-8.901302803000394
50,294.0,-0.539
50,409.252669039146,-0.6521910777733912
50,527.876631079478,-0.747256217923411
50,646.5005931198101,-0.8503355704697986
50,765.1245551601423,-0.9465061192262139
50,883.7485172004747,-1.046269245953415
50,1002.3724792408068,-1.1446506119226214
50,1120.996441281139,-1.2419265692854322
50,1239.620403321471,-1.339202526648243
50,1358.2443653618031,-1.4362021318594551
50,1476.8683274021353,-1.5323726806158706
50,1595.4922894424674,-1.6243979470983025
50,1714.1162514827997,-1.7216739044611131
50,1832.7402135231318,-1.811212001579155
50,1951.364175563464,-1.905171733122779
50,2069.988137603796,-1.9966442953020134
50,2188.612099644128,-2.0908803789972366
50,2307.2360616844603,-2.1820765890248714
50,2425.8600237247924,-2.2729964469009074
50,2544.4839857651245,-2.3644690090801417
50,2663.1079478054567,-2.4553888669561785
50,2781.731909845789,-2.5471377812870117
50,2906.2870699881373,-2.6411728815992532
50,3024.91103202847,-2.7312804316357413
50,3137.603795966785,-2.81243584682195
50,3256.2277580071172,-2.9055665219107776
50,3374.85172004745,-2.9879194630872483
50,3493.475682087782,-3.0796683774180815
50,3612.099644128114,-3.1620213185945523
50,3730.7236061684466,-3.2490722463482036
50,3849.3475682087783,-3.3328069482826685
50,3967.9715302491104,-3.4209632846427156
50,4086.5954922894425,-3.503039873667588
50,4205.2194543297755,-3.587050927753652
50,4323.843416370106,-3.673272799052507
50,4442.467378410439,-3.7534149230161864
50,4561.091340450771,-3.837978681405448
50,4679.715302491104,-3.921989735491512
50,4798.339264531436,-4.004066324516384
50,4916.963226571768,-4.083932096328465
50,5035.5871886121,-4.168772206869325
50,5154.2111506524325,-4.2450454007106195
50,5272.835112692765,-4.329885511251481
50,5391.459074733097,-4.40477694433478
50,5510.083036773428,-4.4865771812080535
50,5628.706998813761,-4.561744966442953
50,5753.2621589561095,-4.64397229300506
50,5877.817319098458,-4.725345440189498
50,5996.44128113879,-4.8021713383339915
50,6109.134045077106,-4.877615475720489
50,6221.8268090154215,-4.944492696407422
50,6340.450771055754,-5.026845637583893
50,6459.074733096086,-5.098697196999604
50,6577.698695136418,-5.175246742992498
50,6696.32265717675,-5.247374654559811
50,6814.946619217082,-5.324200552704303
50,6933.570581257414,-5.3957757599684175
50,7052.194543297746,-5.470943545203317
50,7170.8185053380785,-5.541136991709434
50,7289.442467378411,-5.61492301618634
50,7408.066429418742,-5.685392814844059
50,7526.690391459076,-5.753928148440584
50,7645.314353499407,-5.8277141729174895
50,7763.938315539739,-5.895973154362416
50,7882.56227758007,-5.968377418081326
50,8001.186239620404,-6.034701934465061
50,8119.810201660735,-6.105448085274378
50,8238.434163701068,-6.170390840900118
50,8357.0581257414,-6.241689696012633
50,8475.682087781732,-6.309395973154363
50,8594.306049822064,-6.37737860244769
50,8712.930011862396,-6.443703118831425
50,8831.553973902728,-6.508093170153968
50,8950.177935943062,-6.577181208053692
50,9068.801897983392,-6.641847611527832
50,9187.425860023726,-6.706790367153573
50,9306.049822064057,-6.769522305566523
50,9424.67378410439,-6.833912356889064
50,9543.29774614472,-6.896367943150414
50,9661.921708185053,-6.961310698776155
50,9780.545670225385,-7.02210817212791
50,9899.169632265719,-7.084563758389261
50,10017.79359430605,-7.14757204895381
50,10136.417556346381,-7.209198578760363
50,10255.041518386714,-7.271377812870114
50,10373.665480427047,-7.332175286221871
50,10492.28944246738,-7.393801816028426
50,10610.91340450771,-7.451006711409396
50,10729.537366548044,-7.51512041058034
50,10848.161328588376,-7.5734307145677064
50,10966.785290628706,-7.6328464271614695
50,11085.40925266904,-7.6894986182392415
50,11209.964412811389,-7.749668018519184
50,11328.58837485172,-7.80602710883011
50,11441.281138790035,-7.863047769443348
50,11565.836298932385,-7.919247747909413
50,11684.460260972717,-7.978900732552528
50,11803.08422301305,-8.034310734666045
50,11921.708185053381,-8.088520419353424
50,12040.332147093712,-8.144349136848149
50,12158.956109134046,-8.199675395885425
50,12271.648873072361,-8.250493485984999
50,12390.272835112693,-8.301618634030794
50,12508.896797153026,-8.35744176865377
50,12627.520759193358,-8.409672325305962
50,12746.14472123369,-8.465219107777338
50,12864.768683274024,-8.51219897354915
50,12983.392645314354,-8.568851164626924
50,13107.947805456703,-8.620428525284428
50,13226.571767497035,-8.671930517173314
50,13339.264531435349,-8.719186735096724
50,13457.888493475682,-8.770035530990919
50,13576.512455516015,-8.818397157520726
50,13695.136417556347,-8.868969601263323
50,13813.760379596677,-8.918712988551126
50,13932.384341637011,-8.966521910777733
50,14051.008303677343,-9.016265298065537
50,14169.632265717675,-9.062968811685748
50,14288.256227758005,-9.112159494670351
50,14406.88018979834,-9.155823134622977
50,14525.504151838672,-9.206395578365575
50,14644.128113879002,-9.249782866166601
50,14762.752075919338,-9.299526253454403
50,14881.376037959668,-9.343742597710223
50,15000.000000000004,-9.388511646269247
50,15118.623962040332,-9.43466245558626
50,15237.247924080662,-9.47777339123569
50,15355.871886120998,-9.523371496249506
50,15474.495848161328,-9.56731148835373
50,15593.119810201659,-9.612080536912753
50,15711.743772241995,-9.652427951046189
50,15830.367734282325,-9.697473351756813
50,15954.922894424673,-9.738901051573771
50,16073.546856465005,-9.78593674606308
50,16186.23962040332,-9.825148045795498
50,16304.863582443655,-9.866600868535333
50,16423.487544483985,-9.905566521910778
50,16542.111506524314,-9.947848401105407
50,16660.73546856465,-9.988195815238848
50,16779.35943060498,-10.02799052506909
50,16897.983392645318,-10.066403474141335
50,17016.607354685646,-10.105921831819979
50,17135.231316725978,-10.144887485195419
50,17253.855278766314,-10.183024082116066
50,17372.479240806642,-10.222542439794712
50,17491.10320284697,-10.258468219502566
50,17609.727164887307,-10.29715752072641
50,17728.35112692764,-10.335570469798657
