co2_ppmv,gpp_percent,d17o_o2_permil
94,103.386905,-0.318332
94,103.794988,-0.318173
94,104.203071,-0.318015
94,104.611153,-0.317858
94,105.019236,-0.317702
94,105.427318,-0.317546
94,105.835401,-0.317391
94,106.243483,-0.317236
94,106.651566,-0.317083
94,107.059648,-0.316929
94,107.467731,-0.316777
94,107.875813,-0.316625
94,108.283896,-0.316473
94,108.691979,-0.316323
94,109.100061,-0.316173
94,109.508144,-0.316023
94,109.916226,-0.315874
94,110.324309,-0.315726
94,110.732391,-0.315578
94,111.140474,-0.315430
94,111.548556,-0.315284
94,111.956639,-0.315138
94,112.364722,-0.314992
94,112.772804,-0.314847
94,113.180887,-0.314703
94,113.588969,-0.314559
94,113.997052,-0.314416
94,114.405134,-0.314273
94,114.813217,-0.314131
94,115.221299,-0.313990
94,115.629382,-0.313849
94,116.037464,-0.313708
94,116.445547,-0.313569
94,116.853630,-0.313430
94,117.261712,-0.313291
94,117.669795,-0.313154
94,118.077877,-0.313017
94,118.485960,-0.312880
94,118.894042,-0.312744
94,119.302125,-0.312609
94,119.710207,-0.312475
94,120.118290,-0.312341
94,120.526373,-0.312209
94,120.934455,-0.312076
94,121.342538,-0.311945
94,121.750620,-0.311814
94,122.158703,-0.311685
94,122.566785,-0.311556
94,122.974868,-0.311427
94,123.382950,-0.311300
94,123.791033,-0.311174
94,124.199116,-0.311048
94,124.607198,-0.310923
94,125.015281,-0.310800
94,125.423363,-0.310677
94,125.831446,-0.310555
94,126.239528,-0.310435
94,126.647611,-0.310315
94,127.055693,-0.310196
94,127.463776,-0.310079
94,127.871858,-0.309962
94,128.279941,-0.309847
94,128.688024,-0.309733
94,129.096106,-0.309620
94,129.504189,-0.309508
94,129.912271,-0.309398
94,130.320354,-0.309289
94,130.728436,-0.309181
94,131.136519,-0.309075
94,131.544601,-0.308970
94,131.952684,-0.308866
94,132.360767,-0.308764
94,132.768849,-0.308664
94,133.176932,-0.308565
94,133.585014,-0.308467
94,133.993097,-0.308372
94,134.401179,-0.308277
94,134.809262,-0.308185
94,135.217344,-0.308094
94,135.625427,-0.308005
94,136.033510,-0.307918
94,136.441592,-0.307833
94,136.849675,-0.307750
94,137.257757,-0.307668
94,137.665840,-0.307589
94,138.073922,-0.307512
94,138.482005,-0.307436
94,138.890087,-0.307363
94,139.298170,-0.307292
94,139.706252,-0.307224
94,140.114335,-0.307157
94,140.522418,-0.307093
94,140.930500,-0.307032
94,141.338583,-0.306972
194,51.968504,-0.441163
194,52.407148,-0.439853
194,52.845792,-0.438560
194,53.284435,-0.437286
194,53.723079,-0.436030
194,54.161723,-0.434791
194,54.600367,-0.433569
194,55.039011,-0.432365
194,55.477654,-0.431177
194,55.916298,-0.430006
194,56.354942,-0.428851
194,56.793586,-0.427713
194,57.232230,-0.426590
194,57.670873,-0.425484
194,58.109517,-0.424393
194,58.548161,-0.423317
194,58.986805,-0.422256
194,59.425449,-0.421210
194,59.864092,-0.420179
194,60.302736,-0.419163
